site,name,region,country,sar_avail_pct,sar_down_min,dcups_avail_pct,dcups_down_min,orion_active_pct,orion_avg_bytes_per_s,orion_max_bytes_per_s
DTBA,DTBA,EU,DEU,,,,,0.000,0,0
DTBN,DTBN,EU,DEU,,,,,0.035,0,0
DTBR,DTBR,EU,DEU,,,,,0.000,0,0
DTDD,DTDD,EU,DEU,,,,,0.035,0,0
DTDT,DTDT,??,??,,,100.000,0.0,,,
DTFB,DTFB,EU,DEU,,,,,0.000,0,0
DTGB,DTGB,EU,DEU,,,,,0.000,0,0
DTHL,DTHL,EU,DEU,,,,,0.000,0,0
DTHR,DTHR,EU,DEU,,,,,0.104,0,0
DTHT,DTHT,EU,DEU,,,,,0.000,0,0
DTIF,DTIF,EU,DEU,,,,,0.000,0,0
DTKM,DTKM,EU,DEU,,,,,0.000,0,0
DTMB,DTMB,EU,DEU,,,,,0.000,0,0
DTMH,DTMH,EU,DEU,,,,,0.000,0,0
DTND,DTND,EU,DEU,,,,,0.000,0,0
DTOB,DTOB,EU,DEU,,,,,0.000,0,0
DTOS,DTOS,EU,DEU,,,,,0.000,0,0
DTPW,DTPW,EU,DEU,,,,,0.000,0,0
DTSW,DTSW,EU,DEU,,,,,0.000,0,0
DTVD,DTVD,EU,DEU,,,,,0.000,0,0
DTVR,DTVR,EU,DEU,,,,,0.000,0,0
DTWL,DTWL,EU,DEU,,,,,0.000,0,0
DTWR,DTWR,EU,DEU,,,,,0.035,0,0
DTZU,DTZU,EU,DEU,,,,,0.035,0,0
